PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 2. polrok 2018;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Názov spoločnosti;Obec sídla spoločnosti;Okres sídla spoločnosti;Kraj sídla spoločnosti;Výdavky na marketing;Výdavky na propagáciu lieku;Zdravotnícky pracovník;Poskytovateľ zdravotnej starostlivosti;Zdravotnícky pracovník;Poskytovateľ zdravotnej starostlivosti
NAZOV;SIDSPOL_OBEC_POP_ST;SIDSPOL_OKRES_POP_ST;SIDSPOL_KRAJ_POP_ST;VYD_MARKET;VYD_PROP_LIEK;DAR_PEN_1;DAR_PEN_2;DAR_NEPEN_1;DAR_NEPEN_2
PhMr. Zuzana Krahulíková - LEKÁREŇ KLENOVEC;Klenovec;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
Mgr. Zuzana Kubalová MELISSA;Pliešovce;Okres Zvolen;Banskobystrický kraj;;;;;;
Mrg.Jana Vojtková-Lekáreň Arnica;Závadka nad Hronom;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň na Rúbanisku;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
Vojtech Majerčík RIO;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;;;;;;
PHARMACOPOLA, s.r.o.;Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;;;;;;
ZDRAVIE;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;;;;;;
AKOLA,s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;;;;;;
Lekáreň U Galena s.r.o.;Detva;Okres Detva;Banskobystrický kraj;;;;;;
VARTEX s.r.o.;Krupina;Okres Krupina;Banskobystrický kraj;;;;;;
Lekáreň U Hippokrata spol. s r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Lekaren pri nemocnici s.r.o.;Brezno;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
RNDr. Marcela Zvarová Lekáreň AQUA VIVA;Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický kraj;0,00;0,00;;;;
Paed.Dr.Nadežda Simanová-Lekáreň Podlavice;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Mgr. Petr Niklíček, Verejná lekáreň AESCULAP;Jesenské;Okres Rimavská Sobota;Banskobystrický kraj;;;;;;
SAPPADA spol. s r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;22 340,00;;;;;
SPEKTRUM KK s.r.o.;Detva;Okres Detva;Banskobystrický kraj;;;;;;
GALVEX, spol. s r. o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;;660,00;;;;
Lekáreň pri Artézske s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
Fenax Pharma, s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Biely Lev s.r.o.;Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický kraj;239,04;;;;;
Lekáreň Flora, s.r.o.;Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
ZDRAVIE KK s.r.o.;Detva;Okres Detva;Banskobystrický kraj;;;;;;
Milpharm, s.r.o.;Brezno;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
REGIA LC s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
Bluepharm s.r.o.;Revúca;Okres Revúca;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Hviezda s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
PRAMEN ZVOLEN S.R.O.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň RIMAVA s.r.o.;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
ALTHEA s.r.o.;Žarnovica;Okres Žarnovica;Banskobystrický kraj;0,00;0,00;;;;
Mgr. Zuzana Urbašíková, lekáreň NÁDEJ;Kalinovo;Okres Poltár;Banskobystrický kraj;0,00;0,00;;;;
Lekaren Ambrozia;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
ALCHEMIST S.R.O.;Vlkanová;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Verejná lekáreň Polomka s.r.o.;Polomka;Okres Brezno;Banskobystrický kraj;;;;;;
PHARM VIDIEK spol. s r.o.;Hrochoť;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
