PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2020;;;;;;;;;;
;;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;;
;;;;;;;;;;
Spoločnosť;;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Názov spoločnosti zasielajúcej hlásenie;Obec sídla spoločnosti;Okres sídla spoločnosti;Kraj sídla spoločnosti;Názov spoločnosti poskytujúcej plnenie;Výdavky na marketing;Výdavky na propagáciu lieku;Zdravotnícky pracovník;Poskytovateľ zdravotnej starostlivosti;Zdravotnícky pracovník;Poskytovateľ zdravotnej starostlivosti
NAZOV;SIDSPOL_OBEC_POP_ST;SIDSPOL_KRAJ_POP_ST;SIDSPOL_OKRES_POP_ST;HLASENE_ZA;VYD_MARKET;VYD_PROP_LIEK;DAR_PEN_1;DAR_PEN_2;DAR_NEPEN_1;DAR_NEPEN_2
Národné rehabilitačné centrum;Kováčová;Banskobystrický kraj;Okres Zvolen;Národné rehabilitačné centrum;42,21;;;;;
Mgr.Zuzana Krahulíková,lekáreň KLENOVEC;Klenovec;Banskobystrický kraj;Okres Rimavská Sobota;Mgr.Zuzana Krahulíková,lekáreň KLENOVEC;0,00;0,00;;;;
Mgr. Zuzana Kubalová MELISSA;Pliešovce;Banskobystrický kraj;Okres Zvolen;Mgr. Zuzana Kubalová MELISSA;0,00;0,00;;;;
PHARMACOPOLA, s.r.o.;Žiar nad Hronom;Banskobystrický kraj;Okres Žiar nad Hronom;PHARMACOPOLA, s.r.o.;;;;;;
Globpharma spol. s r. o.;Banská Bystrica;Banskobystrický kraj;Okres Banská Bystrica;Globpharma spol. s r. o.;0,00;0,00;;;;
ZDRAVIE;Banská Bystrica;Banskobystrický kraj;Okres Banská Bystrica;ZDRAVIE;;;;;;
Lekáreň U Galena s.r.o.;Detva;Banskobystrický kraj;Okres Detva;Lekáreň U Galena s.r.o.;;;;;;
U ZELENÉHO HADA, spol. s r.o.;Zvolen;Banskobystrický kraj;Okres Zvolen;U ZELENÉHO HADA, spol. s r.o.;;;;;;
Paed.Dr.Nadežda simanová-Lekareň Podlavice;Banská Bystrica;Banskobystrický kraj;Okres Banská Bystrica;Paed.Dr.Nadežda simanová-Lekareň Podlavice;0,00;0,00;;;;
Mgr. Niklíček Petr, Lekáreň AESCULAP;Jesenské;Banskobystrický kraj;Okres Rimavská Sobota;Mgr. Niklíček Petr, Lekáreň AESCULAP;0,00;0,00;;;;
Sappada spol. s r.o.;Zvolen;Banskobystrický kraj;Okres Zvolen;Sappada spol. s r.o.;12 200,00;0,00;;;;
ARTMED, spol. s r.o.;Banská Bystrica;Banskobystrický kraj;Okres Banská Bystrica;ARTMED, spol. s r.o.;0,00;0,00;;;;
SPEKTRUM KK s.r.o.;Detva;Banskobystrický kraj;Okres Detva;SPEKTRUM KK s.r.o.;;;;;;
Lekáreň pri Artézske s.r.o.;Lučenec;Banskobystrický kraj;Okres Lučenec;Lekáreň pri Artézske s.r.o.;0,00;0,00;;;;
Lekáreň Biely Lev s.r.o.;Veľký Krtíš;Banskobystrický kraj;Okres Veľký Krtíš;Lekáreň Biely Lev s.r.o.;0,00;0,00;;;;
Lekáreň Flora, s.r.o.;Žiar nad Hronom;Banskobystrický kraj;Okres Žiar nad Hronom;Lekáreň Flora, s.r.o.;0,00;0,00;;;;
ZDRAVIE KK s.r.o.;Detva;Banskobystrický kraj;Okres Detva;ZDRAVIE KK s.r.o.;;;;;;
MILPHARM, s.r.o.;Brezno;Banskobystrický kraj;Okres Brezno;MILPHARM, s.r.o.;0,00;0,00;;;;
REGIA LC s.r.o.;Lučenec;Banskobystrický kraj;Okres Lučenec;REGIA LC s.r.o.;0,00;0,00;;;;
NUKLEUS s.r.o.;Lutila;Banskobystrický kraj;Okres Žiar nad Hronom;NUKLEUS s.r.o.;0,00;0,00;;;;
LEKÁREŇ HVIEZDA s.r.o.;Lučenec;Banskobystrický kraj;Okres Lučenec;LEKÁREŇ HVIEZDA s.r.o.;;0,00;;;;
PRAMEN ZVOLENs.r.o.;Zvolen;Banskobystrický kraj;Okres Zvolen;PRAMEN ZVOLENs.r.o.;0,00;0,00;;;;
Lekaren RIMAVA s.r.o.;Rimavská Sobota;Banskobystrický kraj;Okres Rimavská Sobota;Lekaren RIMAVA s.r.o.;0,00;0,00;;;;
ALTHEA s.r.o.;Žarnovica;Banskobystrický kraj;Okres Žarnovica;ALTHEA s.r.o.;0,00;0,00;;;;
Všeobecná nemocnica s poliklinikou Lučenec n.o.;Lučenec;Banskobystrický kraj;Okres Lučenec;Všeobecná nemocnica s poliklinikou Lučenec n.o.;0,00;0,00;;1 715,00;;0,00
KARDIOLEK s.r.o.;Lučenec;Banskobystrický kraj;Okres Lučenec;KARDIOLEK s.r.o.;0,00;0,00;;;;
Cardiopharm;Banská Bystrica;Banskobystrický kraj;Okres Banská Bystrica;Cardiopharm;0,00;0,00;;;;
LIANELA, s.r.o.;Revúca;Banskobystrický kraj;Okres Revúca;LIANELA, s.r.o.;0,00;0,00;;;;
Cannabis s.r.o.;Revúca;Banskobystrický kraj;Okres Revúca;Cannabis s.r.o.;0,00;0,00;;;;
Mgr. Zoltán Antal, Lekáreň Azaela;Tornaľa;Banskobystrický kraj;Okres Revúca;Mgr. Zoltán Antal, Lekáreň Azaela;0,00;0,00;;;;
UNIDEX Lekáreň spol.s.r.o.;Banská Bystrica;Banskobystrický kraj;Okres Banská Bystrica;UNIDEX Lekáreň spol.s.r.o.;0,00;0,00;;;;
LEKÁREŇ POD BRÁNOU s.r.o.;Badín;Banskobystrický kraj;Okres Banská Bystrica;LEKÁREŇ POD BRÁNOU s.r.o.;0,00;0,00;;;;
ANTHYA s.r.o.;Nová Baňa;Banskobystrický kraj;Okres Žarnovica;ANTHYA s.r.o.;100,00;0,00;;;;
TS Pharma s.r.o.;Banská Bystrica;Banskobystrický kraj;Okres Banská Bystrica;TS Pharma s.r.o.;4 200,00;3 276,00;;;;
Lekáreň Lieky24 s.r.o.;Beňuš;Banskobystrický kraj;Okres Brezno;Lekáreň Lieky24 s.r.o.;21 950,00;;;;;
Lekáreň SRDCE s.r.o.;Sliač;Banskobystrický kraj;Okres Zvolen;Lekáreň SRDCE s.r.o.;0,00;0,00;;;;
Tabletka s.r.o.;Veľká Lehota;Banskobystrický kraj;Okres Žarnovica;Tabletka s.r.o.;0,00;0,00;;;;
MÉDIA-RS s.r.o.;Rimavská Sobota;Banskobystrický kraj;Okres Rimavská Sobota;MÉDIA-RS s.r.o.;0,00;0,00;;;;
Delpharm sro;Sása;Banskobystrický kraj;Okres Zvolen;Delpharm sro;0,00;0,00;;;;
Eddie, s.r.o.;Lučenec;Banskobystrický kraj;Okres Lučenec;Eddie, s.r.o.;0,00;0,00;;;;
Lekáreň Alchemilka;Banská Bystrica;Banskobystrický kraj;Okres Banská Bystrica;Lekáreň Alchemilka;0,00;0,00;;;;
Miraxis s.r.o.;Rimavská Sobota;Banskobystrický kraj;Okres Rimavská Sobota;Miraxis s.r.o.;0,00;0,00;;;;
Spasiteľ SK;Zvolen;Banskobystrický kraj;Okres Zvolen;Spasiteľ SK;0,00;0,00;;;;
M.J.TEAM SK;Zvolen;Banskobystrický kraj;Okres Zvolen;M.J.TEAM SK;0,00;0,00;;;;
CFC Pharmaceuticals s.r.o.;Banská Bystrica;Banskobystrický kraj;Okres Banská Bystrica;CFC Pharmaceuticals s.r.o.;0,00;0,00;;;;
PharmDr. Jakub Páterek;Dudince;Banskobystrický kraj;Okres Krupina;PharmDr. Jakub Páterek;0,00;0,00;;;;
MNSS, s.r.o.;Banská Bystrica;Banskobystrický kraj;Okres Banská Bystrica;MNSS, s.r.o.;0,00;0,00;;;;
Pharmalogic s.r.o.;Rimavská Sobota;Banskobystrický kraj;Okres Rimavská Sobota;Pharmalogic s.r.o.;0,00;0,00;;;;
Lekaren Salvia;Hontianske Moravce;Banskobystrický kraj;Okres Krupina;Lekaren Salvia;500,00;300,00;;;;
BIONICA s.ro.;Slovenská Ľupča;Banskobystrický kraj;Okres Banská Bystrica;BIONICA s.ro.;370,00;0,00;;;;
Lekaren ZLP;Zvolen;Banskobystrický kraj;Okres Zvolen;Lekaren ZLP;0,00;0,00;;;;
Alchemy s.r.o.;Lieskovec;Banskobystrický kraj;Okres Zvolen;Alchemy s.r.o.;0,00;0,00;;;;
V Lekaren,s.r.o.;Ábelová;Banskobystrický kraj;Okres Lučenec;V Lekaren,s.r.o.;0,00;0,00;;;;
